v,vw,o,c,h,l,t,n
2524,164.1555,164.49,164,164.49,164,1681113600000,80
562,163.9875,164,164,164,164,1681113660000,30
472,163.9585,163.96,163.96,163.96,163.96,1681113900000,7
965,163.9596,163.9,163.96,163.96,163.9,1681113960000,14
3469,164.034,164,164.3,164.3,164,1681114140000,49
1127,164.0291,164.05,164,164.05,164,1681114200000,22
1395,163.9954,164,163.99,164,163.99,1681114320000,19
918,163.9996,164,164,164,164,1681114380000,13
411,163.9977,164,164,164,164,1681114440000,12
725,163.9453,163.94,163.96,163.96,163.94,1681114560000,38
626,163.9211,163.93,163.92,163.93,163.92,1681114620000,19
672,163.8817,163.92,163.92,163.92,163.92,1681114920000,15
311,163.5973,163.59,163.59,163.59,163.59,1681115220000,13
319,163.6139,163.62,163.61,163.62,163.61,1681115280000,13
633,163.6119,163.61,163.61,163.61,163.61,1681115340000,15
508,163.607,163.61,163.61,163.61,163.61,1681115400000,9
375,163.5755,163.57,163.57,163.57,163.57,1681115460000,17
958,163.6506,163.65,163.65,163.65,163.65,1681115880000,14
101,163.7502,163.75,163.75,163.75,163.75,1681116060000,2
205,163.7698,163.75,163.75,163.75,163.75,1681116120000,7
1246,163.7988,163.8,163.8,163.8,163.8,1681116240000,15
202,163.75,163.75,163.75,163.75,163.75,1681116360000,4
303,163.617,163.62,163.62,163.62,163.62,1681116480000,6
486,163.6065,163.63,163.56,163.63,163.56,1681116660000,14
1339,163.7317,163.76,163.7,163.76,163.66,1681116720000,14
550,163.749,163.75,163.75,163.75,163.75,1681116900000,7
1550,163.6884,163.77,163.57,163.77,163.57,1681117260000,30
1663,163.7491,163.72,163.72,163.72,163.72,1681117800000,27
319,163.7881,163.8,163.8,163.8,163.8,1681118100000,8
325,163.803,163.8,163.8,163.8,163.8,1681118280000,9
533,163.7025,163.7,163.68,163.7,163.68,1681118940000,16
4848,163.7794,163.76,163.78,163.78,163.76,1681119360000,24
4805,163.9482,163.88,163.97,163.97,163.86,1681119600000,43
209,163.95,163.95,163.95,163.95,163.95,1681119900000,2
323,163.8501,163.85,163.85,163.85,163.85,1681120080000,5
1279,163.8054,163.8,163.8,163.8,163.8,1681120380000,33
186,163.7994,163.8,163.8,163.8,163.8,1681120800000,6
392,163.6982,163.7,163.7,163.7,163.7,1681120920000,18
1037,163.725,163.69,163.75,163.75,163.69,1681121040000,23
566,163.6905,163.71,163.69,163.71,163.69,1681121100000,18
152,163.7,163.7,163.7,163.7,163.7,1681121220000,5
1663,163.6906,163.68,163.69,163.7,163.68,1681121520000,13
219,163.7561,163.74,163.78,163.78,163.74,1681121640000,8
1345,163.8806,163.78,163.98,163.98,163.78,1681121700000,37
1173,163.9276,163.98,163.9,163.98,163.9,1681121760000,23
440,163.8955,163.9,163.89,163.9,163.89,1681121940000,6
794,163.785,163.78,163.78,163.78,163.78,1681122120000,25
807,163.8216,163.85,163.85,163.85,163.85,1681122840000,29
206,163.7823,163.8,163.8,163.8,163.8,1681122900000,8
5041,163.5867,163.66,163.23,163.66,163.23,1681123620000,147
5602,163.6587,163.63,163.48,163.68,163.48,1681123800000,46
233,163.6194,163.58,163.58,163.58,163.58,1681124040000,9
4112,163.3226,163.46,163.26,163.47,163.25,1681124100000,84
673,163.3733,163.4,163.4,163.4,163.4,1681124220000,13
1684,163.3363,163.4,163.32,163.4,163.32,1681124280000,20
3605,163.5909,163.6,163.59,163.64,163.59,1681124400000,124
2835,163.512,163.52,163.5,163.53,163.49,1681124460000,63
2447,163.5607,163.51,163.6,163.6,163.51,1681124520000,54
2044,163.5232,163.55,163.44,163.55,163.44,1681124580000,44
326,163.4524,163.45,163.45,163.45,163.45,1681124700000,16
3236,163.4853,163.5,163.47,163.5,163.47,1681124760000,49
685,163.5088,163.5,163.5,163.5,163.5,1681124880000,20
1245,163.5112,163.5,163.5,163.5,163.5,1681125000000,44
735,163.5499,163.55,163.55,163.55,163.55,1681125120000,23
2735,163.5254,163.53,163.51,163.53,163.51,1681125300000,44
1242,163.4602,163.5,163.43,163.5,163.42,1681125360000,43
1068,163.4748,163.5,163.44,163.5,163.44,1681125420000,31
191,163.449,163.44,163.44,163.44,163.44,1681125480000,9
13697,163.4146,163.45,163.35,163.45,163.35,1681125540000,93
1213,163.3101,163.31,163.31,163.31,163.3,1681125660000,31
621,163.2877,163.31,163.26,163.31,163.26,1681125780000,22
375,163.2904,163.27,163.27,163.27,163.27,1681125840000,12
3947,163.2375,163.31,163.21,163.31,163.21,1681125900000,153
621,163.171,163.19,163.19,163.19,163.19,1681126080000,14
3446,163.1192,163.14,163.17,163.17,163.1,1681126140000,83
7272,163.0164,163.12,162.91,163.12,162.91,1681126200000,233
1573,162.9016,162.9,162.9,162.9,162.9,1681126260000,22
2651,162.8736,162.91,162.85,162.91,162.85,1681126320000,56
8808,162.7161,162.85,162.76,162.85,162.5,1681126380000,162
1686,162.7178,162.75,162.7,162.75,162.7,1681126560000,45
1505,162.7396,162.75,162.75,162.75,162.75,1681126740000,29
1405,162.808,162.8,162.8,162.8,162.8,1681126860000,16
316,162.8842,162.87,162.87,162.87,162.87,1681126920000,9
2667,162.8146,162.85,162.8,162.85,162.8,1681126980000,47
509,162.8052,162.79,162.79,162.79,162.79,1681127040000,16
1994,162.7617,162.76,162.75,162.76,162.75,1681127100000,46
6211,162.701,162.72,162.65,162.72,162.65,1681127160000,102
1680,162.6407,162.69,162.6,162.69,162.6,1681127280000,40
1941,162.5678,162.56,162.56,162.6,162.56,1681127340000,45
373,162.6701,162.68,162.68,162.68,162.68,1681127400000,12
1164,162.7361,162.75,162.75,162.75,162.75,1681127460000,32
210,162.6972,162.69,162.69,162.69,162.69,1681127520000,12
624,162.6784,162.68,162.68,162.68,162.68,1681127580000,12
10944,162.7461,162.69,162.8,162.8,162.69,1681127640000,67
2089,162.761,162.77,162.75,162.77,162.75,1681127700000,21
2979,162.7453,162.73,162.75,162.75,162.73,1681127760000,46
1131,162.7821,162.8,162.76,162.8,162.76,1681127820000,44
1440,162.7655,162.79,162.75,162.8,162.75,1681127940000,32
37268,163.0169,163.35,162.87,163.61,162.55,1681128000000,447
24208,162.9696,162.86,162.8,163.75,162.8,1681128060000,938
1197,163.2895,162.77,162.77,162.77,162.77,1681128120000,213
2584,162.7899,162.77,162.75,162.8,162.75,1681128180000,61
1322,162.7741,162.8,162.75,162.8,162.75,1681128240000,20
3763,162.7042,162.74,162.7,162.74,162.66,1681128300000,93
6215,162.6802,162.68,162.7299,162.73,162.61,1681128360000,142
