v,vw,o,c,h,l,t,n
2721,130.042,130.02,130.15,130.16,129.84,1673341200000,67
981,129.9719,129.96,129.96,129.96,129.96,1673341260000,50
1893,129.9931,129.96,130,130,129.95,1673341320000,43
2258,130.0481,130.04,130.04,130.05,130.04,1673341380000,33
773,129.9778,129.98,130,130,129.98,1673341440000,27
666,129.9768,129.96,129.96,129.96,129.96,1673341500000,25
1311,129.9294,129.92,129.93,129.93,129.92,1673341560000,28
1155,130.0004,130,130,130,130,1673341620000,24
531,130.0087,130,130,130,130,1673341680000,17
354,129.9972,130,129.99,130,129.99,1673341800000,7
1499,129.99,129.98,129.97,129.98,129.97,1673341920000,38
652,129.9881,130,130,130,130,1673341980000,24
1131,129.9374,129.96,129.93,129.96,129.93,1673342040000,37
1045,129.9719,129.95,129.98,129.98,129.95,1673342100000,18
1203,130.0249,130,130.05,130.05,130,1673342160000,22
5320,129.9912,130,129.99,130,129.99,1673342220000,26
3111,129.9932,129.99,130.01,130.01,129.99,1673342280000,33
286,130,129.98,129.98,129.98,129.98,1673342340000,14
1332,130.0124,130.03,129.97,130.05,129.97,1673342460000,45
466,130.0209,130.02,130.03,130.03,130.02,1673342520000,8
463,130.0309,130.03,130.04,130.04,130.03,1673342580000,10
1387,130.0278,130.04,130.03,130.04,130.02,1673342640000,45
7733,130.0297,130.02,130.03,130.03,130.02,1673342700000,11
201,130.0569,130.05,130.05,130.05,130.05,1673343120000,15
938,130.1814,130.15,130.23,130.23,130.15,1673343360000,17
852,130.2722,130.27,130.28,130.28,130.27,1673343540000,12
1574,130.2592,130.27,130.27,130.28,130.2,1673343600000,22
1226,130.1853,130.18,130.17,130.18,130.17,1673343660000,21
684,130.2101,130.21,130.21,130.21,130.21,1673343720000,11
1050,130.1146,130.12,130.1,130.12,130.1,1673343960000,22
574,130.1591,130.16,130.16,130.17,130.16,1673344020000,6
242,130.15,130.15,130.15,130.15,130.15,1673344080000,7
923,130.1573,130.15,130.15,130.15,130.15,1673344260000,19
264,130.1427,130.13,130.13,130.13,130.13,1673344560000,11
310,130.1101,130.11,130.11,130.11,130.11,1673344620000,11
254,130.1221,130.13,130.13,130.13,130.13,1673344680000,13
739,130.172,130.17,130.18,130.18,130.17,1673344800000,14
1238,130.178,130.19,130.15,130.19,130.15,1673344920000,37
123,130.1411,130.14,130.14,130.14,130.14,1673344980000,5
1095,130.1528,130.15,130.16,130.16,130.14,1673345160000,18
321,130.1084,130.1,130.1,130.1,130.1,1673345220000,18
892,130.1496,130.15,130.15,130.15,130.15,1673345340000,13
397,130.15,130.15,130.15,130.15,130.15,1673345400000,10
123,130.1591,130.16,130.16,130.16,130.16,1673345520000,4
399,130.1141,130.1,130.1,130.1,130.1,1673345640000,15
1426,130.1015,130.11,130.1,130.11,130.1,1673345700000,33
252,130.1021,130.1,130.1,130.1,130.1,1673345760000,23
1105,130.1577,130.15,130.15,130.15,130.15,1673346060000,16
402,130.1544,130.15,130.15,130.15,130.15,1673346300000,14
380,130.1377,130.14,130.14,130.14,130.14,1673346360000,17
632,130.2524,130.23,130.26,130.26,130.23,1673346840000,23
397,130.2905,130.29,130.29,130.29,130.29,1673346900000,14
510,130.3977,130.4,130.4,130.4,130.4,1673347140000,15
723,130.3656,130.38,130.38,130.38,130.38,1673347260000,32
410,130.3128,130.32,130.32,130.32,130.32,1673347440000,32
2384,130.3793,130.37,130.39,130.39,130.37,1673347620000,28
1620,130.4075,130.4,130.41,130.41,130.4,1673347680000,18
671,130.3887,130.39,130.39,130.39,130.39,1673347800000,15
204,130.3875,130.39,130.39,130.39,130.39,1673347980000,5
396,130.3652,130.36,130.37,130.37,130.36,1673348040000,16
822,130.4012,130.4,130.41,130.41,130.4,1673348220000,10
977,130.4335,130.4,130.44,130.44,130.4,1673348280000,29
954,130.4927,130.49,130.5,130.5,130.49,1673348340000,24
2305,130.3948,130.44,130.36,130.46,130.36,1673348460000,48
1294,130.3533,130.36,130.35,130.36,130.35,1673348760000,35
313,130.3263,130.33,130.33,130.33,130.33,1673348820000,10
477,130.3219,130.32,130.32,130.32,130.32,1673348880000,22
2272,130.2678,130.29,130.26,130.29,130.25,1673349000000,34
835,130.2514,130.25,130.25,130.25,130.25,1673349060000,10
2138,130.2027,130.22,130.2,130.22,130.2,1673349180000,50
1310,130.16,130.17,130.13,130.17,130.13,1673349240000,32
1549,130.0764,130.11,130.13,130.13,130.01,1673349300000,83
510,130.1742,130.17,130.24,130.24,130.17,1673349420000,17
422,130.2586,130.25,130.27,130.27,130.25,1673349480000,6
1408,130.2718,130.29,130.25,130.29,130.25,1673349660000,32
407,130.2598,130.26,130.26,130.26,130.26,1673349720000,5
256,130.2849,130.27,130.27,130.27,130.27,1673349780000,15
469,130.17,130.17,130.17,130.17,130.17,1673349960000,12
486,130.1742,130.18,130.17,130.18,130.17,1673350020000,8
